Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,11/18/2018 0:00:00,100000,567
US,North,Bill,2/24/2012 0:00:00,120000,3000
UK,North,Thomas,11/25/2011 0:00:00,140000,345
Australia,East,John,9/3/2014 0:00:00,160000,1000
Africa,East,Bill,1/14/2015 0:00:00,180000,123
Singapore,East,Thomas,5/7/2011 0:00:00,200000,1000
Mylasia,West,John,3/28/2015 0:00:00,1000000,7890
India,West,Bill,7/23/2016 0:00:00,240000,200
US,West,Thomas,6/30/2016 0:00:00,26000000,1000
UK,North,John,7/10/2017 0:00:00,100000,1000
Australia,North,Bill,1/27/2012 0:00:00,120000,567
Africa,North,Thomas,12/3/2010 0:00:00,140000,1000
Singapore,East,John,6/13/2012 0:00:00,160000,892
Mylasia,East,Bill,6/30/2010 0:00:00,180000,444
India,East,Thomas,1/29/2012 0:00:00,200000,90
US,West,John,1/31/2015 0:00:00,220000,90
UK,West,Bill,8/20/2014 0:00:00,240000,90
Australia,West,Thomas,3/9/2017 0:00:00,260000,90
Africa,North,John,6/2/2016 0:00:00,140000,85
Singapore,North,Bill,5/23/2013 0:00:00,150000,85
